RUN,RELAY,TIME,SENSOR VALUE,STATUS
MANUAL,Relay 6,01/22/2026 12:18:34,0.0,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:35,0.0,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:36,0.0,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:37,0.0009,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:38,0.0029,LEAK
MANUAL,Relay 6,01/22/2026 12:18:39,0.0039,LEAK
MANUAL,Relay 6,01/22/2026 12:18:40,0.0048,LEAK
MANUAL,Relay 6,01/22/2026 12:18:41,0.0048,LEAK
MANUAL,Relay 6,01/22/2026 12:18:42,0.0,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:43,0.0,AMBIENT
MANUAL,Relay 6,01/22/2026 12:18:44,0.0,AMBIENT
,Off,01/22/2026 12:18:45,0.0,AMBIENT
